Work ID (Completed),Work ID (Recommended),Work Description,Category,MP Name,State,Constituency,IDA,House,Recommended Amount (₹),Final Settled Amount (₹),Cost Escalation Delta (₹),Cost Escalation Ratio,Cost Escalation (%),Recommendation Date,Completed Date,Execution Duration (Days),Has Images (Completed),Has Images (Recommended),Average Rating
261145,243545,"To provide minimast light in front of Attukal Temple,Attukal Ward,Thiruvananthapuram Corporation,TVPM District",Normal/Others,Shri A. A. Rahim (2022-28),Kerala,Sitting Rajya Sabha,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Rajya Sabha,260000,235332,-24668,0.9051,-9.49,2026-01-08T00:00:00.000Z,2026-08-20T00:00:00.000Z,224,TRUE,FALSE,
225803,1494,"Village Mohammadpur BLock Marhara jila Etah , Baraat Ghar ke saamne High Mast Light .",Normal/Others,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,ETAH(DISTRICT MAGISTRATE ETAH_IDA),Lok Sabha,240611,240611,0,1,0,2025-08-08T00:00:00.000Z,2026-02-04T00:00:00.000Z,180,FALSE,FALSE,
225807,1498,"Village Mohammadpur BLock Marhara jila Etah , Holy Pani Tanki Ke saamne high Mast Light",Normal/Others,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,ETAH(DISTRICT MAGISTRATE ETAH_IDA),Lok Sabha,240611,240611,0,1,0,2025-08-08T00:00:00.000Z,2026-02-04T00:00:00.000Z,180,FALSE,FALSE,
225805,1496,"Village Mohammadpur BLock Marhara jila Etah , Kailsham kumar Ke Makkan ke Saamne",Normal/Others,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,ETAH(DISTRICT MAGISTRATE ETAH_IDA),Lok Sabha,240611,240611,0,1,0,2025-08-08T00:00:00.000Z,2026-02-04T00:00:00.000Z,180,FALSE,FALSE,
225801,1492,"Village Mohammadpur BLock Marhara jila Etah , Mini Hospital ke  Saamne High Mast Light .",Normal/Others,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,ETAH(DISTRICT MAGISTRATE ETAH_IDA),Lok Sabha,240611,240611,0,1,0,2025-08-08T00:00:00.000Z,2026-02-04T00:00:00.000Z,180,FALSE,FALSE,
225800,1491,"Village Mohammadpur BLock Marhara jila Etah , Ramkailash ke Makaan Ke saamne high Mast Light",Normal/Others,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,ETAH(DISTRICT MAGISTRATE ETAH_IDA),Lok Sabha,240611,240611,0,1,0,2025-08-08T00:00:00.000Z,2026-02-04T00:00:00.000Z,180,FALSE,FALSE,
225806,1497,"Village Mohammadpur BLock Marhara jila Etah ,Gulaab Singh Ke makaan ke saamne High Mast Light",Normal/Others,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,ETAH(DISTRICT MAGISTRATE ETAH_IDA),Lok Sabha,240611,240611,0,1,0,2025-08-08T00:00:00.000Z,2026-02-04T00:00:00.000Z,180,FALSE,FALSE,
225802,1493,"Village Mohammadpur BLock Marhara jila Etah ,Pratap singh ke Makaan ke saamne High Mast Light .",Normal/Others,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,ETAH(DISTRICT MAGISTRATE ETAH_IDA),Lok Sabha,240611,240611,0,1,0,2025-08-08T00:00:00.000Z,2026-02-04T00:00:00.000Z,180,FALSE,FALSE,
225808,1499,Village Mohammadpur BLock Marhara jila Etah Brajesh Kumar Ke ghar Ke saamne High Mast Light,Normal/Others,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,ETAH(DISTRICT MAGISTRATE ETAH_IDA),Lok Sabha,240611,240611,0,1,0,2025-08-08T00:00:00.000Z,2026-02-04T00:00:00.000Z,180,FALSE,FALSE,
225810,1501,Village Mohammadpur BLock Marhara jila Etah Chhotey lal Ke Makaan ke Saamne High Mast Light,Normal/Others,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,ETAH(DISTRICT MAGISTRATE ETAH_IDA),Lok Sabha,240611,240611,0,1,0,2025-08-08T00:00:00.000Z,2026-02-04T00:00:00.000Z,180,FALSE,FALSE,
225812,1503,Village Mohammadpur BLock Marhara jila Etah Devesh Ke Makaan ke Saamne High Mast Light,Normal/Others,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,ETAH(DISTRICT MAGISTRATE ETAH_IDA),Lok Sabha,240611,240611,0,1,0,2025-08-08T00:00:00.000Z,2026-02-04T00:00:00.000Z,180,FALSE,FALSE,
225809,1500,Village Mohammadpur BLock Marhara jila Etah OmPrakash Ke Makaan Ke saamne High Mast Light,Normal/Others,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,ETAH(DISTRICT MAGISTRATE ETAH_IDA),Lok Sabha,240611,240611,0,1,0,2025-08-08T00:00:00.000Z,2026-02-04T00:00:00.000Z,180,FALSE,FALSE,
225811,1502,Village Mohammadpur BLock Marhara jila Etah Suresh Chand Ke Makaan ke saamne High mast Light,Normal/Others,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,ETAH(DISTRICT MAGISTRATE ETAH_IDA),Lok Sabha,240611,240611,0,1,0,2025-08-08T00:00:00.000Z,2026-02-04T00:00:00.000Z,180,FALSE,FALSE,
225804,1495,"Village Mohammadpur BLock Marhara jila Etah, Shamsham ke saamne High Mast Light",Normal/Others,AASHTIKAR PATIL NAGESH BAPURAO,Maharashtra,HINGOLI,ETAH(DISTRICT MAGISTRATE ETAH_IDA),Lok Sabha,240611,240611,0,1,0,2025-08-08T00:00:00.000Z,2026-02-04T00:00:00.000Z,180,FALSE,FALSE,
233087,295217,"Construction of Chuzhalikkara Puliyarakkal road or pathway, Ward No.17, Kizhakkoth Panchayat",Normal/Others,Shri Abdul Wahab (2021-27),Kerala,Sitting Rajya Sabha,KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA),Rajya Sabha,500000,370111,-129889,0.7402,-25.98,2026-07-15T00:00:00.000Z,2026-08-13T00:00:00.000Z,29,TRUE,FALSE,
182239,271105,"Construction of Meeranvettikarikkakam - Chathimangalam - Kattilakuzhi road or pathway, Ward No.10, Peringammala Panchayat",Normal/Others,Shri Abdul Wahab (2021-27),Kerala,Sitting Rajya Sabha,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Rajya Sabha,1000000,793821,-206179,0.7938,-20.62,2026-02-26T00:00:00.000Z,2026-05-12T00:00:00.000Z,75,TRUE,FALSE,
181146,272616,"Setting up of Low mast light at Chuzhikkayam - Pallithatt, ward No. 17, West Eleri Panchayat",Normal/Others,Shri Abdul Wahab (2021-27),Kerala,Sitting Rajya Sabha,KASARAGOD(DISTRICT COLLECTOR KASARAGOD_IDA),Rajya Sabha,210000,191552,-18448,0.9122,-8.78,2026-03-06T00:00:00.000Z,2026-05-05T00:00:00.000Z,60,TRUE,FALSE,
254173,1817,Construction of Ten Feet RCC Platform Mudra Ghat in Surya Mandir of Kujapi Village in Gaya Town of Belaganj Vidhansabha,Normal/Others,ABHAY KUMAR SINHA,Bihar,AURANGABAD,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),Lok Sabha,1498879,1498879,0,1,0,2025-12-15T00:00:00.000Z,2026-05-14T00:00:00.000Z,150,FALSE,FALSE,
173909,173914,Construction of Concrete Road,Normal/Others,ADHIKARI SOUMENDU,West Bengal,KANTHI,Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA),Lok Sabha,700000,1995673,1295673,2.851,185.1,2025-02-06T00:00:00.000Z,2026-01-29T00:00:00.000Z,357,FALSE,FALSE,
236326,236322,Install 2 set of solar street lights,Normal/Others,ADV GOWAAL KAGADA PADAVI,Maharashtra,NANDURBAR,NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA),Lok Sabha,170000,169529,-471,0.9972,-0.28,2025-09-21T00:00:00.000Z,2026-07-15T00:00:00.000Z,297,TRUE,FALSE,
236327,236323,Install 2 set of solar street lights,Normal/Others,ADV GOWAAL KAGADA PADAVI,Maharashtra,NANDURBAR,NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA),Lok Sabha,170000,169529,-471,0.9972,-0.28,2025-09-21T00:00:00.000Z,2026-07-15T00:00:00.000Z,297,TRUE,FALSE,
236328,236324,Install 2 set of solar street lights,Normal/Others,ADV GOWAAL KAGADA PADAVI,Maharashtra,NANDURBAR,NANDURBAR(DISTRICT COLLECTOR NANDURBAR_IDA),Lok Sabha,170000,169529,-471,0.9972,-0.28,2025-09-21T00:00:00.000Z,2026-07-15T00:00:00.000Z,297,TRUE,FALSE,
174632,174633,Janpad Nainital antargat gram bacchi Nagar number 2 Mein link Marg se Sardar Mahendra Singh Ke Khet Tak CC marg Nirman kairiy hetu,Normal/Others,Ajay Bhatt,Uttarakhand,NAINITAL UDHAM SINGH NAG.,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Lok Sabha,250000,250000,0,1,0,2025-02-09T00:00:00.000Z,2025-09-30T00:00:00.000Z,233,TRUE,FALSE,
162157,1007,Construction of Common Chaupal at Panchayat Land of Sher Garh Village,Normal/Others,Shri Ajay Makan (2024-30),Karnataka,Sitting Rajya Sabha,KAITHAL(DC CUM NODAL OFFICERS MPLADS),Rajya Sabha,1000000,990188,-9812,0.9902,-0.98,2024-12-28T00:00:00.000Z,2025-11-10T00:00:00.000Z,317,FALSE,FALSE,
